RefSeq_ID	Gene_Symbol	Chromosome	Start	End	Expression Breadth	RPKM	Housekeeping?	
NR_045675	ARHGAP22	chr10	49654068	49864310	30	3.5229	Yes	
NM_001244764	TNIP3	chr4	122052564	122148621	20	0.104885	No	
NM_032590	KDM2B	chr12	121866900	122018920	31	3.85473	Yes	
NM_004430	EGR3	chr8	22545174	22550815	29	0.0624865	No	
NM_018231	SLC38A7	chr16	58700298	58718674	31	9.54677	Yes	
NM_017409	HOXC10	chr12	54378946	54384062	17	4.74612	No	
NM_201400	FAM86A	chr16	5134301	5147789	31	3.83846	Yes	
NM_014364	GAPDHS	chr19	36024314	36036221	26	0.538912	No	
NM_001042399	CCDC41	chr12	94702056	94853764	30	1.48116	Yes	
NR_024606	LBX2-AS1	chr2	74729744	74732192	27	1.13368	No	
NM_001271851	RRAGC	chr1	39303869	39325495	31	22.3232	Yes	
NM_001122671	CCBL1	chr9	131595392	131644354	30	2.20874	Yes	
NR_033969	LOC100128054	chr10	96039047	96046827	17	1.53736	No	
NM_172352	CD46	chr1	207925383	207968861	31	62.2502	Yes	
NM_004584	RAD9A	chr11	67159423	67165883	31	2.07727	Yes	
NM_000362	TIMP3	chr22	33196802	33259028	29	503.881	No	
NM_145246	FRA10AC1	chr10	95427640	95462329	31	6.17532	Yes	
NM_018061	PRPF38B	chr1	109234932	109244422	30	12.4317	Yes	
NM_000302	PLOD1	chr1	11994724	12035599	31	207.148	Yes	
NM_016545	IER5	chr1	181057638	181059979	31	21.8604	Yes	
NR_002719	TOP1P1	chr1	171308035	171310463	24	0.935894	No	
NM_005275	GNL1	chr6	30509155	30525371	31	1.62158	Yes	
NM_000900	MGP	chr12	15034115	15038853	25	31.0047	No	
NM_001143679	GSTK1	chr7	142960522	142966222	31	61.9887	Yes	
NM_001030007	AP1G1	chr16	71762905	71842976	31	16.5641	Yes	
NM_016037	UTP11L	chr1	38478384	38490497	31	12.6591	Yes	
NM_012405	ICMT	chr1	6281253	6296044	31	28.3009	Yes	
NM_001035247	UFD1L	chr22	19437464	19466738	31	21.6867	Yes	
NM_022460	HS1BP3	chr2	20817564	20850864	31	8.62785	Yes	
NM_138356	SHF	chr15	45459412	45493373	29	2.62009	Yes	
NM_152751	BEND7	chr10	13480484	13544976	27	2.58138	No	
NM_033083	EAF1	chr3	15469064	15484120	31	4.26671	Yes	
NR_033796	DSTNP2	chr12	6993846	6994950	30	0.256795	Yes	
NR_026971	A2M-AS1	chr12	9217773	9220651	25	0.583393	No	
NM_152374	C1orf216	chr1	36179477	36184790	30	9.66177	Yes	
NM_002338	LSAMP	chr3	115521210	116164385	25	0.474027	No	
NM_018559	KIAA1704	chr13	45563687	45602404	30	11.8802	Yes	
NR_038164	NSFL1C	chr20	1422807	1448337	31	13.7512	Yes	
NM_001204832	ANO10	chr3	43407818	43663560	31	21.1427	Yes	
NM_022768	RBM15	chr1	110881945	110889303	31	1.33656	Yes	
NM_018420	SLC22A15	chr1	116519119	116612675	30	5.12344	Yes	
NM_152299	NCAPH2	chr22	50946645	50963209	31	5.67671	Yes	
NR_029383	PAN3-AS1	chr13	28710980	28713311	30	1.04799	Yes	
NM_001258277	TMEM200A	chr6	130687426	130764210	28	4.43823	Yes	
NR_027064	TINCR	chr19	5558178	5568005	25	0.132631	No	
NM_001135703	LRP12	chr8	105501459	105601252	31	18.2402	Yes	
NM_197970	BOLL	chr2	198591603	198650938	13	0.179984	No	
NM_015388	YIPF3	chr6	43479565	43484728	31	90.5593	Yes	
NM_032294	CAMKK1	chr17	3763617	3796337	30	2.11348	Yes	
NM_138571	HINT3	chr6	126277861	126301389	31	12.7529	Yes	
NM_001130448	C15orf62	chr15	41062159	41064648	28	1.21456	No	
NM_014244	ADAMTS2	chr5	178537852	178772431	26	78.4723	No	
NM_016558	SCAND1	chr20	34541539	34543281	30	21.546	Yes	
NM_003430	ZNF91	chr19	23540498	23578269	31	2.31731	Yes	
NM_145017	PPP1R32	chr11	61248585	61258400	28	0.544403	No	
NM_006794	GPR75	chr2	54080050	54087170	30	0.11835	No	
NM_006353	HMGN4	chr6	26538572	26547164	31	38.8246	Yes	
NR_015380	A1BG-AS1	chr19	58863336	58866549	26	1.08119	No	
NM_001204220	ZNF670	chr1	247197940	247242115	31	0.637618	Yes	
NM_021222	PRUNE	chr1	150980973	151008189	31	5.25661	Yes	
NM_001394	DUSP4	chr8	29190579	29208267	29	1.28138	No	
NM_203453	PPAPDC2	chr9	4662294	4665272	31	3.25174	Yes	
NM_032014	MRPS24	chr7	43906157	43909145	31	93.5822	Yes	
NM_001012614	CTBP1	chr4	1205228	1242908	31	33.6659	Yes	
NM_203412	UBL4B	chr1	110655062	110656569	12	15.4367	No	
NM_016107	ZFR	chr5	32354456	32444844	31	32.6212	Yes	
NM_017900	AURKAIP1	chr1	1309110	1310818	31	50.9658	Yes	
NM_025151	RAB11FIP1	chr8	37716465	37757015	31	3.69663	Yes	
NM_001256139	CAPG	chr2	85621871	85641197	30	27.7562	Yes	
NM_080667	CCDC104	chr2	55746740	55772216	30	24.9333	Yes	
NM_173552	C3orf58	chr3	143690640	143711210	31	7.09177	Yes	
NM_176812	CHMP4B	chr20	32399110	32442173	31	55.9593	Yes	
NM_001873	CPE	chr4	166300097	166419482	28	0.41614	No	
NM_032813	TMTC4	chr13	101256090	101327103	31	1.52444	Yes	
NM_001541	HSPB2	chr11	111783460	111784817	22	10.1701	No	
NM_001242933	SNX1	chr15	64388083	64436433	31	12.5229	Yes	
NM_017895	DDX27	chr20	47835832	47860614	31	15.1401	Yes	
NM_001001924	MTUS1	chr8	17501303	17658426	31	0.671068	Yes	
NM_024111	CHAC1	chr15	41245636	41248717	30	51.8999	No	
NM_005503	APBA2	chr15	29213840	29410516	29	3.74612	Yes	
NM_001146071	TDRD3	chr13	60970591	61148013	30	4.34376	Yes	
NM_001184874	GPRASP2	chrX	101967104	101972661	29	2.00364	No	
NM_145756	ZNF396	chr18	32946661	32957301	28	0.358164	No	
NM_024296	CCDC28B	chr1	32666202	32670991	29	4.81306	Yes	
NM_014938	MLXIP	chr12	122516652	122628967	31	6.45145	Yes	
NM_031937	TBC1D10A	chr22	30687979	30722955	30	6.83925	Yes	
NM_000430	PAFAH1B1	chr17	2496923	2588909	31	41.3994	Yes	
NM_014793	LCMT2	chr15	43619974	43622820	31	3.50169	Yes	
NM_014181	LGALSL	chr2	64681327	64688517	31	1.72429	Yes	
NM_005087	FXR1	chr3	180630234	180700539	31	16.1023	Yes	
NM_013236	ATXN10	chr22	46067678	46241187	30	55.364	Yes	
NM_001896	CSNK2A2	chr16	58191812	58231782	31	18.1407	Yes	
NM_021213	PCTP	chr17	53828340	53854748	31	4.61998	Yes	
NM_001010875	SLC25A30	chr13	45967454	45992516	30	4.67558	Yes	
NM_052932	TMEM123	chr11	102267056	102323775	31	87.0558	Yes	
NM_001814	CTSC	chr11	88026760	88070941	31	42.7955	Yes	
NR_037167	LOC730102	chr1	177975275	178007142	27	2.42233	No	
NR_073509	LOC100287072	chr17	20615759	20641178	16	0.119326	No	
NM_004874	BAG4	chr8	38034106	38070819	31	3.24227	Yes	
NM_000052	ATP7A	chrX	77166194	77305892	31	3.01648	Yes	
NM_004499	HNRNPAB	chr5	177631508	177638184	31	41.6419	Yes	
NM_176096	CDK5RAP3	chr17	46048429	46059147	31	21.6224	Yes	
NM_001142778	HSD3B7	chr16	30996519	31000473	30	6.17417	Yes	
NM_001135213	GIT2	chr12	110367607	110434194	31	15.0317	Yes	
NM_001008897	TCP1	chr6	160199530	160210735	31	60.0811	Yes	
NM_001172646	PLCB4	chr20	9049701	9461462	28	9.30476	Yes	
NR_002329	ST7-OT4	chr7	116593953	116599867	24	0.169132	No	
NM_005429	VEGFC	chr4	177604691	177713895	27	47.0151	No	
NM_001802	CDR2	chr16	22357257	22385938	31	16.9501	Yes	
NM_001168647	CNKSR2	chrX	21392536	21672813	26	0.169348	No	
NM_020186	ACN9	chr7	96745905	96811075	30	2.24756	Yes	
NM_001136575	LANCL1	chr2	211295973	211341499	31	21.1908	Yes	
NR_040288	AKR7L	chr1	19592476	19600568	28	0.120947	No	
NM_004113	FGF12	chr3	191857182	192445388	24	0.0889215	No	
NM_020696	KIAA1143	chr3	44790236	44803173	30	3.32744	Yes	
NM_001083113	ZGPAT	chr20	62338794	62367494	30	5.48929	Yes	
NM_001256932	LOC730183	chr16	30709025	30709810	28	0.612083	Yes	
NM_032486	DCTN5	chr16	23652687	23685068	31	11.2359	Yes	
NR_003587	MYO15B	chr17	73584139	73622927	29	0.377201	No	
NM_173657	C3orf33	chr3	155480401	155524055	30	1.60769	Yes	
NM_022494	ZDHHC6	chr10	114190058	114206672	30	20.0069	Yes	
NM_001161499	ZNF611	chr19	53206066	53238307	30	0.664863	Yes	
NM_003278	CLEC3B	chr3	45067759	45077563	28	1.42821	No	
NM_001142958	FBXO15	chr18	71740588	71815100	27	0.457552	No	
NM_014424	HSPB7	chr1	16340523	16345285	25	11.1039	No	
NM_080592	ATRAID	chr2	27434899	27440046	31	100.372	Yes	
NM_014760	TATDN2	chr3	10290177	10322906	31	8.8555	Yes	
NM_001100396	C2orf73	chr2	54558071	54588714	14	0.269509	No	
NM_007013	WWP1	chr8	87354994	87480178	31	8.48155	Yes	
NM_198566	C5orf34	chr5	43486803	43515273	31	0.397379	Yes	
NM_001087	AAMP	chr2	219128852	219134893	31	31.7428	Yes	
NM_001733	C1R	chr12	7187515	7245043	30	186.378	Yes	
NM_199436	SPAST	chr2	32288680	32382706	31	4.01868	Yes	
NM_002294	LAMP2	chrX	119560003	119603204	31	60.915	Yes	
NM_024090	ELOVL6	chr4	110970229	111119820	30	4.10769	Yes	
NR_003572	RPL23AP53	chr8	158345	182318	30	0.911576	Yes	
NM_018024	WDYHV1	chr8	124428965	124454260	31	5.05622	Yes	
NR_024451	LOC100134229	chr7	139877061	139879440	30	1.0633	Yes	
NM_152587	C11orf65	chr11	108253727	108338258	26	0.279097	No	
NM_015311	OBSL1	chr2	220415450	220436268	30	21.2378	Yes	
NM_014802	C2CD5	chr12	22601518	22697452	31	9.30342	Yes	
NM_001131015	CIZ1	chr9	130928344	130966662	31	20.6946	Yes	
NM_148179	RPP25L	chr9	34610482	34612110	31	15.0024	Yes	
NM_014728	FRMPD4	chrX	12156585	12742642	19	0.252073	No	
NM_005741	ZNF263	chr16	3333487	3341459	31	8.71126	Yes	
NM_031488	L3MBTL2	chr22	41601313	41627275	31	5.88502	Yes	
NM_003356	UCP3	chr11	73711326	73720282	30	0.950098	Yes	
NM_001031812	CSNK1G3	chr5	122847793	122952738	31	13.2227	Yes	
NM_001105244	PTPRM	chr18	7567314	8406859	31	35.4167	Yes	
NM_001146310	C1orf86	chr1	2115899	2144159	30	36.7725	Yes	
NM_203397	MBLAC1	chr7	99724320	99726121	30	1.78666	Yes	
NR_046431	CTC1	chr17	8128139	8151413	31	1.24649	Yes	
NM_053052	SNAP47	chr1	227922697	227968932	31	9.6272	Yes	
NM_199511	CCDC80	chr3	112323409	112359977	29	211.872	No	
NM_198536	TMEM205	chr19	11453452	11456981	31	26.2641	Yes	
NM_001267817	OSTC	chr4	109571741	109588978	30	174.058	Yes	
NM_020827	KIAA1430	chr4	186080819	186125182	31	14.5011	Yes	
NM_001008212	OPTN	chr10	13142082	13180276	31	51.9015	Yes	
NM_002923	RGS2	chr1	192778169	192781407	30	11.9119	Yes	
NM_016327	UPB1	chr22	24891251	24922553	25	0.248388	No	
NM_213674	TPM2	chr9	35681990	35690053	30	1175.68	Yes	
NM_006500	MCAM	chr11	119179234	119187840	27	3.77241	No	
NM_001199341	RPL17	chr18	47014851	47018935	31	545.689	Yes	
NM_001821	CHML	chr1	241792167	241799232	31	4.28222	Yes	
NR_046478	FKBP14	chr7	30050199	30066417	30	13.6633	Yes	
NM_139076	FAM175A	chr4	84382094	84406290	30	6.00742	Yes	
NM_001042353	FAM110A	chr20	814356	826922	30	1.43979	Yes	
NM_020803	KLHL8	chr4	88082214	88141674	31	3.49284	Yes	
NM_022059	CXCL16	chr17	4636828	4643223	29	2.22505	No	
NM_017791	FLVCR2	chr14	76044940	76114512	29	0.201197	No	
NM_001002838	WNK3	chrX	54219256	54384438	27	0.0421895	No	
NM_004074	COX8A	chr11	63742079	63744015	31	152.716	Yes	
NR_027072	LINC00189	chr21	30565815	30660526	19	0.294741	No	
NM_198597	SEC24C	chr10	75504131	75531933	31	21.9617	Yes	
NR_023353	EXOSC7	chr3	45017741	45054158	31	19.4905	Yes	
NM_001258437	TARS	chr5	33440802	33468196	31	100.23	Yes	
NM_001165899	PDE4D	chr5	58264866	59783925	31	0.470655	Yes	
NM_013262	MYLIP	chr6	16129317	16148478	31	2.09827	Yes	
NM_022977	ACSL4	chrX	108884564	108976621	31	18.3213	Yes	
NM_001142935	MXD3	chr5	176732501	176739292	31	6.48385	Yes	
NM_000327	ROM1	chr11	62380213	62382592	30	1.10573	Yes	
NM_018248	NEIL3	chr4	178230991	178284092	24	0.421062	No	
NM_001145441	TYW1B	chr7	72023729	72298813	29	0.234978	No	
NM_003338	UBE2D1	chr10	60094739	60130513	31	8.59038	Yes	
NM_004889	ATP5J2	chr7	99055784	99063824	30	140.095	Yes	
NM_014673	EMC2	chr8	109455853	109499136	31	24.3903	Yes	
NM_022129	PBLD	chr10	70042417	70092684	29	4.77925	Yes	
NR_033995	LOC389247	chr4	184415890	184425668	21	0.400988	No	
NM_006454	MXD4	chr4	2249160	2263739	31	25.4129	Yes	
NM_052906	ELFN2	chr22	37764000	37823505	27	1.07788	No	
NR_024458	TPT1-AS1	chr13	45915480	45965618	29	5.25052	No	
NM_001008781	FAT3	chr11	92085262	92629635	26	0.184186	No	
NM_017572	MKNK2	chr19	2037470	2051243	31	43.5436	Yes	
NM_201397	GPX1	chr3	49394609	49395791	31	124.94	Yes	
NM_003170	SUPT6H	chr17	26989302	27029249	31	22.228	Yes	
NR_003949	FKBP9L	chr7	55748767	55772260	27	4.94189	No	
NR_040724	RBM39	chr20	34291531	34330258	31	77.6533	Yes	
NM_001135575	SMIM13	chr6	11094266	11138969	31	5.15655	Yes	
NM_012430	SEC22A	chr3	122920774	122992982	31	5.76275	Yes	
NR_003500	RP9P	chr7	32956427	32982782	29	7.409	Yes	
NR_026991	H1FX-AS1	chr3	129035114	129043412	29	0.930613	Yes	
NM_001469	XRCC6	chr22	42017295	42060052	31	109.27	Yes	
NM_006082	TUBA1B	chr12	49521567	49525304	31	101.254	Yes	
NM_002567	PEBP1	chr12	118573870	118583390	31	85.0345	Yes	
NR_027440	LOC100272217	chr9	133452737	133454881	29	0.476813	Yes	
NM_145244	DDIT4L	chr4	101107027	101111655	26	1.42823	No	
NM_018280	C22orf26	chr22	46446339	46450024	29	0.425319	Yes	
NM_001001349	NKIRAS2	chr17	40169594	40177656	31	19.6975	Yes	
NM_005915	MCM6	chr2	136597196	136634047	31	8.78228	Yes	
NM_004376	COX15	chr10	101468505	101492423	31	4.66768	Yes	
NM_032037	TSSK6	chr19	19625028	19626469	25	1.30825	No	
NM_005028	PIP4K2A	chr10	22823766	23003503	31	15.4292	Yes	
NM_004906	WTAP	chr6	160148030	160177352	31	27.2514	Yes	
NM_015061	KDM4C	chr9	6720863	7175648	31	6.8873	Yes	
NM_001146259	PIP4K2C	chr12	57984942	57997211	31	11.0507	Yes	
NR_002331	ST7-AS2	chr7	116752346	116785614	13	0.324049	No	
NM_003783	B3GALT2	chr1	193147860	193155743	25	5.3277	No	
NM_004090	DUSP3	chr17	41843489	41856368	30	15.295	Yes	
NM_001100625	CENPN	chr16	81040103	81066709	31	5.18172	Yes	
NM_012394	PFDN2	chr1	161070346	161087866	31	53.3521	Yes	
NM_001199897	LAMP5	chr20	9495005	9511171	24	0.125883	No	
NM_001097600	SLC35G2	chr3	136537861	136574734	30	9.7849	Yes	
NM_032226	ZCCHC7	chr9	37120469	37358145	31	9.97864	Yes	
NM_001195007	PPIE	chr1	40204517	40229586	31	22.6602	Yes	
NM_005438	FOSL1	chr11	65659692	65667997	31	14.8559	Yes	
NM_000681	ADRA2A	chr10	112836790	112840662	26	0.945929	No	
NM_033518	SLC38A5	chrX	48316927	48328644	30	1.81469	Yes	
NM_015265	SATB2	chr2	200134223	200335989	29	1.42359	No	
NM_024734	CLMN	chr14	95648276	95786245	29	0.0184421	No	
NR_003494	FAM86B1	chr8	12039613	12051624	29	0.352703	No	
NM_144654	C9orf116	chr9	138387026	138391761	29	3.43131	No	
NM_001078172	FAM127B	chrX	134184963	134186221	31	39.7071	Yes	
NM_006735	HOXA2	chr7	27139973	27142394	21	0.146997	No	
NM_001271594	SESN3	chr11	94898677	94965705	29	0.0759329	Yes	
NM_001184819	GNL3L	chrX	54556644	54593720	31	1.44507	Yes	
NM_001004356	FGFRL1	chr4	1005610	1020686	30	6.33789	Yes	
NM_001256494	MAN2C1	chr15	75648133	75660968	30	13.3475	Yes	
NM_017696	MCM9	chr6	119134612	119256327	31	1.7265	Yes	
NM_001164475	SLC41A3	chr3	125725200	125820391	31	19.9266	Yes	
NM_001171795	TRIQK	chr8	93895758	93978372	30	11.2459	Yes	
NM_003773	HYAL2	chr3	50355221	50360281	31	14.0011	Yes	
NM_019592	RNF20	chr9	104296133	104325626	31	17.6503	Yes	
NR_046590	DPYD-AS1	chr1	97561479	97788511	22	1.40648	No	
NM_014296	CAPN7	chr3	15247733	15294423	31	12.3911	Yes	
NM_031307	PUS3	chr11	125763380	125773116	31	4.53459	Yes	
NM_001267598	MGST1	chr12	16500076	16530123	31	170.818	Yes	
NM_022477	NDRG3	chr20	35280169	35374541	31	12.315	Yes	
NM_004871	GOSR1	chr17	28804426	28853832	31	6.793	Yes	
NM_001142348	SCN4B	chr11	118004092	118023630	25	0.116472	No	
NM_175895	C12orf61	chr12	62995531	62997214	26	0.312666	No	
NM_152536	FGD5	chr3	14860469	14976072	25	0.121926	No	
NR_015434	LOC148413	chr1	1334910	1337426	31	5.69442	Yes	
NM_001276274	TMEM80	chr11	695591	705028	30	9.84163	Yes	
NM_004698	PRPF3	chr1	150293928	150325704	31	9.52535	Yes	
NM_177424	STX12	chr1	28099694	28150963	31	28.3282	Yes	
NM_152465	PROCA1	chr17	27030534	27038872	28	0.6655	No	
NM_022073	EGLN3	chr14	34393421	34420284	28	0.275664	No	
NM_001256538	C20orf141	chr20	2795633	2796476	8	0.560192	No	
NM_005697	SCAMP2	chr15	75137197	75165670	31	35.5466	Yes	
NM_005875	EIF1B	chr3	40351173	40353915	31	59.8473	Yes	
NM_001257389	CD63	chr12	56119227	56123457	31	898.798	Yes	
NM_183387	EML5	chr14	89081174	89259096	30	1.9594	Yes	
NM_080650	ATPBD4	chr15	35663170	35838404	31	1.63204	Yes	
NM_002345	LUM	chr12	91497232	91505542	24	1015.77	No	
NM_015548	DST	chr6	56322785	56507694	31	21.3579	Yes	
NM_001794	CDH4	chr20	59827482	60515673	29	0.917143	Yes	
NM_182526	TMEM229B	chr14	67936983	67982021	31	0.0598795	Yes	
NM_001017434	PGBD2	chr1	249200442	249213345	30	1.89877	Yes	
NM_022756	MEAF6	chr1	37955561	37980420	31	7.05267	Yes	
NM_024562	TANGO6	chr16	68877509	69119085	31	3.15921	Yes	
NM_001126050	HDGF	chr1	156711899	156722240	31	81.3087	Yes	
NM_001167607	GM2A	chr5	150632613	150649953	31	8.83262	Yes	
NM_017447	C21orf91	chr21	19161284	19191703	30	2.77685	Yes	
NM_013385	CYTH4	chr22	37678495	37711389	26	0.0788596	No	
NM_138778	WDR85	chr9	140449361	140473387	30	6.19624	Yes	
NM_173844	MALT1	chr18	56338618	56417370	31	12.324	Yes	
NM_001010940	C9orf135	chr9	72435731	72521148	14	0.357605	No	
NM_199246	CCNG1	chr5	162864577	162872022	31	63.9913	Yes	
NR_040040	LOC100287015	chr8	6261077	6264069	30	0.419916	Yes	
NM_181509	MAP1LC3A	chr20	33134688	33148149	28	27.255	No	
NR_024031	DANCR	chr4	53578621	53580305	31	7.81897	Yes	
NM_178812	MTDH	chr8	98656407	98742488	31	24.7093	Yes	
NM_145253	UBALD1	chr16	4658884	4664927	29	13.5876	Yes	
NM_001031689	PLAA	chr9	26903368	26947468	31	7.35527	Yes	
NM_032822	FAM136A	chr2	70523108	70529220	31	14.5781	Yes	
NM_018196	TMLHE	chrX	154718673	154842622	31	4.71676	Yes	
NM_001161404	LIMS2	chr2	128395996	128439360	28	47.5471	Yes	
NM_001127454	DFNA5	chr7	24737974	24797639	29	30.3125	No	
NM_205853	MUSTN1	chr3	52867131	52869235	28	2.07592e-09	No	
NR_037714	RAD51L3-RFFL	chr17	33336131	33448541	31	1.17395e-28	Yes	
NM_000585	IL15	chr4	142557749	142655140	30	4.30127	Yes	
NM_198390	CMIP	chr16	81478775	81745367	31	7.012	Yes	
NM_001193301	SEMA4A	chr1	156119735	156147542	29	0.58155	No	
NM_016614	TDP2	chr6	24650205	24667115	31	19.494	Yes	
NM_001039141	TRIOBP	chr22	38092995	38172563	31	44.8034	Yes	
NM_001042490	GTF2H2D	chr5	68856074	68888352	30	0.868192	Yes	
NM_148894	BOD1L1	chr4	13570366	13629328	31	7.05002	Yes	
NM_000891	KCNJ2	chr17	68165676	68176183	28	1.11624	No	
NM_016238	ANAPC7	chr12	110810705	110841535	31	12.1594	Yes	
NM_002579	PALM	chr19	708953	748330	29	7.27919	Yes	
NM_144686	TMC4	chr19	54663834	54676944	29	0.307392	No	
NM_007055	POLR3A	chr10	79734907	79789298	31	3.99356	Yes	
NM_001040437	C6orf48	chr6	31802693	31807541	31	81.8291	Yes	
NM_012157	FBXL2	chr3	33318934	33428757	28	5.21355	Yes	
NM_024628	SLC12A8	chr3	124801480	124931609	29	1.06952	No	
NM_017541	CRYGS	chr3	186256232	186262167	29	0.725299	Yes	
NM_015901	NUDT13	chr10	74870210	74891581	29	0.852429	Yes	
NM_022748	TNS3	chr7	47314752	47621742	30	61.4794	Yes	
NM_021826	FASTKD5	chr20	3127165	3140532	31	5.45578	Yes	
NR_024397	LOC728190	chr10	88998424	89102315	30	14.601	Yes	
NM_003969	UBE2M	chr19	59067079	59070343	31	17.1777	Yes	
NM_005234	NR2F6	chr19	17342694	17356151	31	26.3187	Yes	
NR_046217	ZRANB2-AS2	chr1	71547007	71703406	27	0.799206	No	
NM_020310	MNT	chr17	2287354	2304258	31	5.68708	Yes	
NM_014864	FAM20B	chr1	178995074	179045702	31	16.4001	Yes	
NM_001271960	SLC39A1	chr1	153931575	153940660	31	46.3044	Yes	
NM_003315	DNAJC7	chr17	40128439	40169715	31	39.1706	Yes	
NM_016102	TRIM17	chr1	228595636	228604583	25	0.707322	No	
NM_032530	ZNF594	chr17	5082831	5095178	30	2.62419	Yes	
NM_031210	SLIRP	chr14	78174414	78183941	31	90.7108	Yes	
NM_000642	AGL	chr1	100315640	100389579	30	3.88646	Yes	
NM_019078	UGT1A5	chr2	234621638	234681945	19	1.08388e-07	No	
NM_001256690	MELK	chr9	36572859	36677680	27	3.07524	No	
NM_006801	KDELR1	chr19	48885827	48894810	31	142.107	Yes	
NM_002524	NRAS	chr1	115247085	115259515	31	18.3466	Yes	
NM_145858	CRYZL1	chr21	34961648	35014160	30	14.1344	Yes	
NM_080678	UBE2F	chr2	238875587	238951423	30	20.8516	Yes	
NR_015353	LOC92249	chrX	62646439	62780873	31	6.03885	Yes	
NM_001015891	TAF9	chr5	68647553	68665840	31	65.4533	Yes	
NM_004409	DMPK	chr19	46272976	46285815	31	31.014	Yes	
NM_019009	TOLLIP	chr11	1295598	1330892	31	11.4482	Yes	
NM_014713	LAPTM4A	chr2	20232411	20251789	31	257.016	Yes	
NM_001039503	PRSS53	chr16	31094745	31100130	30	1.90274	Yes	
NM_001134759	CRYZ	chr1	75171172	75199092	30	13.4462	Yes	
NM_052920	KLHL29	chr2	23608298	23931483	30	9.57739	Yes	
NR_026865	C7orf13	chr7	156431060	156433348	29	3.55106	Yes	
NM_001304	CPD	chr17	28705942	28796675	31	34.0816	Yes	
NR_027023	ASH1L-AS1	chr1	155531772	155533735	29	1.18316	Yes	
NM_138568	EXOC3L2	chr19	45715879	45737469	23	0.152722	No	
NR_027007	SETD5-AS1	chr3	9430537	9439174	30	6.00788	Yes	
NM_003405	YWHAH	chr22	32340479	32353590	31	66.5435	Yes	
NM_018097	HAUS2	chr15	42841011	42862190	31	5.01493	Yes	
NM_006167	NKX3-1	chr8	23536206	23540450	28	0.825358	No	
NM_001166624	CFHR3	chr1	196743930	196763203	15	0.184654	No	
NM_001197327	HSPA12B	chr20	3713317	3733758	29	0.314557	Yes	
NM_001037172	ACPL2	chr3	140950682	141013486	31	3.16648	Yes	
NM_001172692	ZNF573	chr19	38229203	38270230	30	0.800678	No	
NM_003692	TMEFF1	chr9	103235520	103339918	30	1.52642	Yes	
NM_016075	VPS36	chr13	52986737	53024763	31	9.37782	Yes	
NM_021190	PTBP2	chr1	97187175	97280605	31	1.90344	Yes	
NR_022014	HMGN2P46	chr15	45803334	45848928	23	0.26857	No	
NM_152362	TNFAIP8L1	chr19	4639527	4655580	31	0.640386	Yes	
NM_002796	PSMB4	chr1	151372041	151374412	31	160.131	Yes	
NR_036750	LOC440434	chr17	36351796	36413256	30	3.9947	Yes	
NM_001276290	PRKAR1A	chr17	66507921	66547457	31	103.193	Yes	
NM_015685	SDCBP2	chr20	1290555	1309879	30	2.56267	Yes	
NM_152326	ANKRD9	chr14	102973198	102976128	29	6.18297	Yes	
NM_006250	PRH1	chr12	11033560	11036874	28	7.11465e-05	No	
NM_001199958	NDUFB5	chr3	179322575	179342288	31	44.7303	Yes	
NM_017799	C14orf101	chr14	57046511	57116232	31	7.92339	Yes	
